,index,name,recipe,ingridients
18,18,Черный трюфель,"Положи ледяную сферу в рокс. Налей в стакан для смешивания красный биттер 5 мл,апероль 30 мл, красный вермут 50 мл и мескаль 10 мл. Добавь трюфельное масло 2 дэш, апельсиновый биттер 4 дэш, темный ром 10 мл и выдержанный ром 30 мл. Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в рокс. Укрась куском вымоченного в трюфельном масле пармезана на шпажке и черным перцем","выдержанный ром, темный ром, мескаль, красный вермут, апероль, красный биттер, апельсиновый биттер, пармезан, трюфельное масло, перец горошком, лед в кубиках, ледяная сфера"
19,19,Май тай 3,"Наполни рокс дробленым льдом доверху. Налей в шейкер лимонный сок 15 мл, миндальный сироп 15 мл, ликер трипл сек 25 мл и белый ром 50 мл. Наполни кубиками льда и взбей. Перелей через стрейнер в рокс. Долей гренадин 10 мл. Досыпь немного дробленого льда. Укрась ягодами вишни","белый ром, трипл сек, миндальный сироп, гренадин, лимонный сок, вишня, дробленый лед, лед в кубиках"
20,20,Кровавая Мэри,"Наполни хайбол кубиками льда доверху. Налей в шейкер лимонный сок 10 мл, томатный сок 120 мл и водку 50 мл. Добавь табаско соус красный 3 дэш и ворчестер соус 3 дэш . Приправь щепоткой сельдереевой соли и щепоткой черного перца молотого. Наполни шейкер льдом, закрой и перекатывай несколько минут из одной руки в другую по вертикали. Перелей через стрейнер в хайбол и укрась стеблем сельдерея","водка, томатный сок, лимонный сок, сельдерей, табаско соус красный, ворчестер соус, сельдереевая соль, черный перец молотый, лед в кубиках"
21,21,Пчелка,"Налей в охлажденный слинг гальяно аутентико 25 мл и лаймовый сок 10 мл. Используя коктейльную ложку, уложи слой темного рома 15 мл и темное пиво доверху. Укрась палочками корицы","темный ром, гальяно л’аутентико, темное пиво, лаймовый сок, корица в палочках"
22,22,Джин и клюква,Наполни хайбол кубиками льда доверху. Налей джин 50 мл . Долей клюквенный сок доверху и аккуратно размешай коктейльной ложкой. Укрась долькой грейпфрута,"лондонский сухой джин, клюквенный сок, грейпфрут, лед в кубиках"
23,23,Маргарита без сахара,"Сделай на бокале соленую окаемку. Налей в шейкер лаймовый сок 15 мл, ликер трипл сек 30 мл и серебряную текилу 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный бокал для маргариты. Укрась долькой лайма","серебряная текила, трипл сек, лаймовый сок, лайм, соль, лед в кубиках"
24,24,Манго ром коллинз,"Наполни хайбол кубиками льда доверху. Налей лимонный сок 15 мл, сок манго 50 мл, сахарный сироп 15 мл и белый ром 50 мл . Долей имбирное пиво доверху и аккуратно размешай коктейльной ложкой. Укрась двумя дольками манго","белый ром, сахарный сироп, лимонный сок, сок манго, имбирное пиво, манго, лед в кубиках"
25,25,Соленый русский шот,"Налей в стопку медовый сироп 15 мл. Используя коктейльную ложку, уложи слоями грейпфрутовый ликер красный 15 мл и водку 15 мл. Укрась соленой долькой грейпфрута. Выпей шот и заверши его грейпфрутом","водка, грейпфрутовый ликер, медовый сироп, грейпфрут, соль"
26,26,Всемогущие двигатели,"Налей в шейкер лимонный сок 20 мл, стрегу 10 мл, италикус 20 мл и мескаль 40 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в охлажденный бокал. Долей просекко доверху. Укрась листиком базилика и половинкой кумквата","мескаль, стрега, италикус, просекко, лимонный сок, кумкват, зеленый базилик, лед в кубиках"
27,27,Блэк вуд,"Наполни бокал для вина дробленым льдом доверху. Налей в шейкер лаймовый сок 15 мл, бальзамический крем 5 мл, апельсиновый сок 40 мл, сироп корицы 15 мл и белый ром 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в бокал для вина. Досыпь немного дробленого льда. Укрась апельсиновой цедрой","белый ром, сироп корицы, апельсиновый сок, лаймовый сок, бальзамический крем, апельсиновая цедра, дробленый лед, лед в кубиках"
28,28,Ревеневый ликер и содовая,Наполни бокал для вина кубиками льда доверху. Налей ревеневый ликер 30 мл . Долей содовую доверху и аккуратно размешай коктейльной ложкой. Укрась апельсиновой цедрой,"ревеневый ликер, содовая, апельсиновая цедра, лед в кубиках"
29,29,Наполеон Динамит,Налей в шейкер ананасовый сок 30 мл и ликер из цветков бузины 10 мл. Добавь белый уксус винный 5 мл и грушевый бренди 30 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась небольшим количеством укропа,"грушевый бренди, ликер из цветков бузины, ананасовый сок, укроп, белый винный уксус, лед в кубиках"
30,30,Ночной Луисвилл,Положи в кубок ледяной куб. Налей в стакан для смешивания домашний мартинез 20 мл и портвейн тони 30 мл. Добавь бурбон 40 мл. Наполни стакан кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер в кубок. Укрась кукурузным листом на прищепке и подожги его с помощью горелки,"бурбон, домашний мартинез, портвейн тони, листья кукурузы, лед в кубиках, ледяной куб"
31,31,Чистая страсть,"Наполни слинг кубиками льда доверху. Положи в шейкер мякоть одной маракуйи. Налей лаймовый сок 10 мл, апельсиновый сок 50 мл, карамельный сироп 5 мл и сахарный сироп 15 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в слинг. Долей содовую доверху и аккуратно размешай коктейльной ложкой. Укрась четвертинкой маракуйи","карамельный сироп, сахарный сироп, лаймовый сок, апельсиновый сок, содовая, маракуйя, лед в кубиках"
32,32,Килим,"Наполни хайбол дробленым льдом доверху. Положи в шейкер мякоть половинки маракуйи и выжми сок корня имбиря 5 мл. Налей апельсиновый сок 50 мл, медовый сироп 15 мл и домашнюю пряную водку 40 мл. Добавь гвоздику 1 шт., бадьян 1 шт., по щепотке молотой корицы и молотого имбиря. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в хайбол. Долей гранатовый сок 10 мл. Досыпь немного дробленого льда. Укрась кружком апельсина, звездочкой бадьяна и веточкой мяты","домашняя пряная водка, медовый сироп, гранатовый сок, апельсиновый сок, апельсин, маракуйя, мята, гвоздика, бадьян, молотая корица, молотый имбирь, корень имбиря, дробленый лед, лед в кубиках"
33,33,Базилично-ежевичный слинг,"Наполни слинг дробленым льдом доверху. Положи в шейкер красный базилик 6 листиков. Налей лимонный сок 15 мл, сахарный сироп 35 мл, ежевичный ликер 15 мл и джин 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в слинг . Долей содовую доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда. Укрась веточкой красного базилика и коктейльной вишней","лондонский сухой джин, ежевичный ликер, сахарный сироп, лимонный сок, содовая, красный базилик, коктейльная вишня красная, лед в кубиках, дробленый лед"
34,34,Лав ми ду,"Положи в шейкер мякоть одной маракуйи и подави мадлером. Налей лаймовый сок 10 мл, манговый сок 50 мл, ликер личи 10 мл, лимончелло 10 мл и белый ром 30 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденный коктейльный бокал. Укрась тремя ягодками малины","белый ром, лимончелло, ликер личи, лаймовый сок, сок манго, маракуйя, малина, лед в кубиках"
35,35,Малиновый брамбл,"Положи в коллинз малину 4 ягоды и подави мадлером. Наполни бокал дробленым льдом доверху. Налей лимонный сок 20 мл, сахарный сироп 15 мл, херес педро хименес 10 мл и джин 40 мл. Добавь бальзамический уксус 2 дэш и аккуратно размешай коктейльной ложкой. Досыпь в хайбол немного дробленого льда. Укрась чайной ложкой с ягодой малины, присыпанной сахарной пудрой","лондонский сухой джин, херес педро хименес, сахарный сироп, лимонный сок, малина, бальзамический уксус, сахарная пудра, дробленый лед"
36,36,Джем джекпот,"Положи в шейкер инжирный джем 1 коктейльную ложку, малиновое пюре 6 коктейльных ложек и клубничное пюре 6 коктейльных ложек. Добавь американский виски 50 мл и ангостуру биттер 1 дэш. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в банку","американский виски, ангостура биттер, малиновое пюре, клубничное пюре, инжирный джем, лед в кубиках"
37,37,Идеальный Роб Рой,"Налей в стакан для смешивания красный вермут 15 мл, сухой вермут 15 мл и шотландский виски 75 мл. Добавь ангостуру биттер 1 дэш. Наполни стакан кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась апельсиновой цедрой","шотландский виски, красный вермут, сухой вермут, ангостура биттер, лед в кубиках"
38,38,Имбирный пряник,"Налей в стопку медовый сироп 10 мл. Используя коктейльную ложку, уложи слоями сок дольки корня имбиря, лимонный сок 10 мл и ванильную водку 25 мл. Укрась кусочком пряника на шпажке. Выпей шот и заверши его пряником","домашняя ванильная водка, медовый сироп, лимонный сок, корень имбиря, имбирный пряник"
39,39,Грейпфрутовый тини,"Положи в шейкер зерна маленькой дольки граната и подави мадлером. Налей лимонный сок 15 мл, сахарный сироп 20 мл и грейпфрутовую водку 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденный коктейльный бокал","грейпфрутовая водка, сахарный сироп, лимонный сок, гранат, лед в кубиках"
40,40,Липовый с тимьяном,Налей в бокал для ирландского кофе кленовый сироп 15 мл. Долей горячий липовый чай доверху и аккуратно размешай коктейльной ложкой. Укрась веточкой тимьяна и 3 слайсами яблока,"кленовый сироп, липовый чай, яблоко, тимьян"
41,41,Витаминный лимонад в кувшине,"Литрового кувшина хватит примерно на 4 хайбола. Наполни кувшин кубиками льда на 2/3. Положи в блендер очищенную и нарезанную четвертинку манго. Налей лаймовый сок 10 мл, апельсиновый сок 150 мл и сироп маракуйи 50 мл. Взбей в блендере без добавления льда и перелей в кувшин. Долей содовую доверху и аккуратно размешай коктейльной ложкой. Укрась кружками огурца","сироп маракуйи, лаймовый сок, апельсиновый сок, содовая, манго, огурец, лед в кубиках"
42,42,Пятый элемент,"Срежь с грейпфрута верхушку и аккуратно извлеки из него мякоть. Положи в шейкер дольку грейпфрута и подави мадлером. Налей лимонный сок 15 мл, медовый сироп 15 мл и джин 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в грейпфрут. Укрась веточкой мяты","лондонский сухой джин, медовый сироп, лимонный сок, грейпфрут, мята, лед в кубиках"
43,43,Нормандский горячий пирог,"Положи в бокал для ирландского кофе нарезанную треть зеленого яблока, палочку корицы и гвоздику 1 шт.. Налей какао ликер светлый 20 мл и кальвадос 40 мл. Долей горячий чай эрл грей доверху и аккуратно размешай коктейльной ложкой. Укрась палочкой корицы и долькой зеленого яблока","кальвадос, какао ликер светлый, чай эрл грей, яблоко, гвоздика, корица в палочках"
44,44,Банкиры,"Налей в шейкер лаймовый сок 30 мл, малиновый сироп 30 мл, домашний ромовый микс 30 мл, портвейн ЛБВ 30 мл и выдержанный чистый виски 30 мл. Добавь Дэд Рэббит ориноко биттер 3 дэш. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденный коктейльный бокал. Укрась щепоткой мускатного ореха молотого","выдержанный чистый виски, домашний ромовый микс, портвейн лбв, дэд рэббит ориноко биттер, малиновый сироп, лаймовый сок, мускатный орех молотый, лед в кубиках"
45,45,Восток встречает Запад,"Наполни рокс дробленым льдом доверху. Положи в стакан для смешивания зерна половинки граната, мяту 10 листьев и подави мадлером. Налей лимонный сок 30 мл, медовый сироп 15 мл, ванильный сироп 5 мл и бурбон 50 мл . Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер и ситечко в рокс. Досыпь немного дробленого льда. Укрась листиками мяты и маленькой долькой граната. Придерживай лед джулеп стрейнером, чтобы было удобнее пить","бурбон, медовый сироп, ванильный сироп, лимонный сок, гранат, мята, дробленый лед, лед в кубиках"
46,46,Бижу Кажу,"Налей в шейкер лаймовый сок 25 мл, сок кешью 75 мл и ликер фалернум 15 мл. Добавь зеленый шартрез 15 мл, домашний вермут на хмеле 20 мл и лондонский сухой джин 50 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в охлажденный глиняный горшок. Укрась веточкой мяты и закрой крышкой","лондонский сухой джин, домашний белый вермут на хмеле, ликер фалернум, зеленый шартрез, сок кешью, лаймовый сок, лед в кубиках"
47,47,Файнел кат,"Положи в стопку слайс манго. Положи в шейкер клубнику 1 ягоду, малину 1 ягоду и подави мадлером. Налей гранатовый сок 10 мл и белый ром 20 мл. Добавь мяту 1 листик и тростниковый сахарный песок 1/4 коктейльных ложки. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в стопку","белый ром, гранатовый сок, манго, малина, клубника, мята, тростниковый сахарный песок, лед в кубиках"
48,48,Арбузный эль,Наполни коктейльную креманку кубиками льда доверху. Положи в шейкер мякоть дольки арбуза и подави мадлером. Налей лимонный сок 15 мл и сироп маракуйи 20 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в коктейльную креманку. Долей имбирное пиво доверху и аккуратно размешай коктейльной ложкой. Укрась кусочком арбуза на шпажке,"сироп маракуйи, лимонный сок, имбирное пиво, арбуз, лед в кубиках"
49,49,Водка гранатовый сок,Наполни хайбол кубиками льда доверху. Налей водку 50 мл . Долей гранатовый сок доверху и аккуратно размешай коктейльной ложкой. Укрась маленькой долькой граната,"водка, гранатовый сок, гранат, лед в кубиках"
50,50,Бубль-гум,"Налей в шейкер нежирные сливки 15 мл, ликер амаретто 15 мл и банановый ликер зеленый 15 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в стопку","банановый ликер зеленый, ликер амаретто, нежирные сливки, лед в кубиках"
51,51,Обезболивающий батат,"Выжми сок из батата 150 г. Наполни харрикейн дробленым льдом доверху. Налей в шейкер апельсиновый сок 20 мл, сок из батата 60 мл, кокосовый крем 45 мл и ликер Пименто драм 10 мл. Добавь кокосовый ром 20 мл, пряный ром 20 мл и выдержанный ром 20 мл. Тщательно взбей безо льда. Перелей через стрейнер и ситечко в харрикейн. Укрась кружком апельсина и веточкой мяты","выдержанный ром, пряный ром, кокосовый ром, ликер пименто драм, апельсиновый сок, батат, мята, мускатный орех молотый, кокосовый крем, лед в кубиках"
52,52,Руж,"Положи в шейкер малиновое пюре 4 коктейльных ложки. Налей лимонный сок 15 мл, ликер личи 50 мл и ванильную водку 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденный коктейльный бокал","домашняя ванильная водка, ликер личи, лимонный сок, малиновое пюре, лед в кубиках"
53,53,Храбрый бык,"Налей в стопку кофейный ликер 25 мл. Используя коктейльную ложку, уложи слой серебряной текилы 25 мл","серебряная текила, кофейный ликер"
54,54,Ле пинале,"Положи ледяную сферу в рокс. Налей в шейкер лаймовый сок 20 мл, сахарный сироп 15 мл и зеленый шартрез 5 мл. Добавь эвкалиптовую тинктуру 3 дэш и обогащенный маслом гхи дамсол 45 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в рокс. Укрась шишкой и пучком мяты на блюдце","обогащенный маслом гхи дамсол, зеленый шартрез, сахарный сироп, лаймовый сок, эвкалиптовая тинктура, мята, лед в кубиках, ледяная сфера, шишка"
55,55,Дальневосточный гимлет,Налей в шейкер лаймовый кордиал 25 мл и абсент 1 дэш. Добавь апельсиновый биттер 1 дэш и лондонский сухой джин 60 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась звездочкой бадьяна,"абсент, лондонский сухой джин, апельсиновый биттер, лаймовый кордиал, бадьян, лед в кубиках"
56,56,Ревеневая лента,"Наполни рокс кубиками льда доверху. Налей в шейкер гренадин 5 мл, апельсиновый сок 40 мл, ревеневый ликер 25 мл и водку 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в рокс. Укрась апельсиновой цедрой","водка, ревеневый ликер, гренадин, апельсиновый сок, апельсиновая цедра, лед в кубиках"
57,57,Юниверсал,"Налей в стопку дынный ликер 20 мл. Используя коктейльную ложку, уложи слоями грейпфрутовый сок 15 мл и водку 15 мл. Укрась маленькой долькой грейпфрута. Выпей шот и заверши его грейпфрутом","водка, дынный ликер, грейпфрутовый сок, грейпфрут"
58,58,Северное сияние,"Положи в стакан для смешивания верхушку веточки розмарина и подави мадлером. Добавь мед 15 мл и грейпфрутовую водку 40 мл. Наполни стакан кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер в охлажденный коктейльный бокал. Используя коктейльную ложку, уложи слой просекко 100 мл. Укрась лимонной цедрой","грейпфрутовая водка, просекко, розмарин, мед, лимонная цедра, лед в кубиках"
59,59,Чай & Правда,Налей в стакан для смешивания домашний бурбон на масале 60 мл. Добавь шоколадный биттер 2 дэш и сироп корицы 5 мл. Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в рокс,"домашний бурбон на масале, шоколадный биттер, сироп корицы, лед в кубиках"
60,60,Сладенький,"Налей в стопку кофейный ликер 15 мл. Используя коктейльную ложку, уложи слоями персиковый ликер 15 мл и жирные сливки 15 мл","кофейный ликер, персиковый ликер, жирные сливки"
61,61,Сельдерей или опиум,Наполни коллинз кубиками льда доверху. Налей в шейкер сахарный сироп 25 мл и мескаль 50 мл. Добавь сельдереевый биттер 3 дэш. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в коллинз. Долей содовую доверху. Укрась сельдереевой солью,"мескаль, сельдереевый биттер, сахарный сироп, содовая, сельдереевая соль, лед в кубиках"
62,62,Дайкири малиновый,"Положи в блендер малину 6 ягод. Налей лаймовый сок 10 мл, медовый сироп 20 мл и белый ром 50 мл. Добавь в блендер совок дробленого льда и взбей. Перелей в рокс. Укрась кружком лайма и ягодкой малины","белый ром, медовый сироп, лаймовый сок, лайм, малина, дробленый лед"
63,63,Виски с вишней,Наполни хайбол кубиками льда доверху. Налей лимонный сок 20 мл и шотландский виски 50 мл . Долей вишневый сок доверху и аккуратно размешай коктейльной ложкой. Укрась кружком лимона и коктейльной вишней на шпажке,"шотландский виски, вишневый сок, лимонный сок, лимон, коктейльная вишня красная, лед в кубиках"
64,64,Замороженный айриш кофе,"Налей в блендер кофе эспрессо 30 мл, миндальное молоко 30 мл и ванильный сироп 30 мл. Добавь ликер амаретто 10 мл и ирландский виски 30 мл. Насыпь в блендер совок дробленого льда и взбей. Перелей в чашку и покроши туда вафлю. Укрась коктейль вафлей","ирландский виски, ликер амаретто, ванильный сироп, кофе эспрессо, вафля, миндальное молоко, дробленый лед"
65,65,Эффектини,"Налей в шейкер холодный эспрессо 40 мл, гальяно аутентико 40 мл и водку 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась зернами кофе","водка, гальяно л’аутентико, кофе эспрессо, кофе в зернах, лед в кубиках"
66,66,Эволюшен,"Положи в шейкер красный базилик 5 листиков. Налей белок перепелиного яйца 25 мл, лаймовый сок 10 мл, медовый сироп 15 мл, бенедиктин 15 мл и белый ром 40 мл. Добавь ревеневый биттер 1 дэш. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер и ситечко в охлажденное шампанское блюдце. Укрась листиком красного базилика","белый ром, бенедиктин, ревеневый биттер, медовый сироп, лаймовый сок, белок перепелиного яйца, красный базилик, лед в кубиках"
67,67,Эгейская сангрия,"Налей в бокал домашний винный сироп 20 мл. Положи в бокал ледяной куб . Используя коктейльную ложку, налей водку 100 мл. Укрась цветком фиалки","водка, домашний винный сироп, цветы фиалки, ледяной куб"
68,68,Бренди Александр,"Налей в шейкер нежирные сливки 30 мл, какао ликер коричневый 30 мл и коньяк 45 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденное шампанское блюдце. Укрась мускатным орехом молотым","коньяк, какао ликер коричневый, нежирные сливки, мускатный орех молотый, лед в кубиках"
69,69,Карел Готт,"Положи в шейкер малину 2 ягоды и подави мадлером. Налей лаймовый сок 5 мл, сахарный сироп 5 мл, клюквенный сок 20 мл, ликер трипл сек 10 мл, бехеровку 25 мл и белый ром 20 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденное шампанское блюдце","белый ром, трипл сек, бехеровка, сахарный сироп, клюквенный сок, лаймовый сок, малина, лед в кубиках"
